feature_name,feature_index
0,0
1,1
2,2
3,3
4,4
6,5
12,6
14,7
15,8
16,9
18,10
19,11
21,12
22,13
23,14
24,15
25,16
26,17
28,18
29,19
31,20
32,21
33,22
34,23
35,24
37,25
38,26
39,27
40,28
41,29
43,30
44,31
45,32
46,33
47,34
48,35
50,36
51,37
55,38
59,39
60,40
61,41
62,42
63,43
64,44
65,45
66,46
67,47
68,48
70,49
71,50
74,51
83,52
88,53
90,54
96,55
98,56
115,57
117,58
120,59
122,60
123,61
124,62
125,63
126,64
128,65
129,66
133,67
134,68
135,69
136,70
137,71
138,72
139,73
142,74
150,75
151,76
154,77
155,78
159,79
160,80
161,81
162,82
163,83
164,84
166,85
167,86
169,87
170,88
175,89
177,90
180,91
181,92
182,93
183,94
184,95
185,96
187,97
188,98
195,99
196,100
197,101
198,102
199,103
200,104
201,105
202,106
203,107
204,108
205,109
207,110
208,111
218,112
223,113
225,114
250,115
255,116
268,117
269,118
270,119
273,120
316,121
336,122
337,123
356,124
412,125
413,126
416,127
417,128
418,129
419,130
420,131
423,132
426,133
429,134
430,135
431,136
432,137
433,138
434,139
438,140
439,141
442,142
443,143
444,144
460,145
468,146
471,147
472,148
473,149
474,150
476,151
480,152
482,153
483,154
484,155
485,156
486,157
487,158
488,159
489,160
491,161
493,162
494,163
496,164
499,165
500,166
510,167
511,168
519,169
520,170
521,171
523,172
525,173
526,174
539,175
545,176
546,177
547,178
548,179
549,180
550,181
551,182
555,183
559,184
562,185
563,186
564,187
569,188
570,189
571,190
572,191
573,192
585,193
589,194
