sensor,appearance_count,stability_pct
59,50,100.0
519,48,96.0
460,45,90.0
33,38,76.0
0,38,76.0
426,34,68.0
205,32,64.0
129,32,64.0
468,31,62.0
420,29,57.99999999999999
485,27,54.0
510,27,54.0
563,27,54.0
21,24,48.0
155,21,42.0
28,21,42.0
133,20,40.0
126,20,40.0
90,20,40.0
124,19,38.0
115,18,36.0
416,18,36.0
122,16,32.0
64,16,32.0
40,16,32.0
65,16,32.0
484,15,30.0
203,14,28.000000000000004
491,14,28.000000000000004
125,13,26.0
487,12,24.0
15,11,22.0
19,11,22.0
443,11,22.0
255,10,20.0
188,10,20.0
316,10,20.0
161,10,20.0
164,10,20.0
137,9,18.0
417,9,18.0
1,8,16.0
31,8,16.0
431,8,16.0
163,8,16.0
526,7,14.000000000000002
139,7,14.000000000000002
183,7,14.000000000000002
24,6,12.0
37,6,12.0
496,6,12.0
488,6,12.0
570,6,12.0
571,6,12.0
175,6,12.0
55,6,12.0
444,6,12.0
154,6,12.0
197,5,10.0
117,5,10.0
185,5,10.0
14,5,10.0
270,5,10.0
562,5,10.0
83,5,10.0
22,5,10.0
494,4,8.0
483,4,8.0
128,4,8.0
439,4,8.0
180,4,8.0
589,4,8.0
201,4,8.0
41,4,8.0
412,4,8.0
39,4,8.0
486,4,8.0
3,4,8.0
63,4,8.0
96,4,8.0
134,4,8.0
35,4,8.0
34,4,8.0
51,4,8.0
547,4,8.0
182,4,8.0
200,4,8.0
88,4,8.0
160,4,8.0
202,4,8.0
29,3,6.0
572,3,6.0
196,3,6.0
429,3,6.0
225,3,6.0
585,3,6.0
434,3,6.0
520,3,6.0
336,3,6.0
433,3,6.0
123,3,6.0
413,3,6.0
44,3,6.0
432,3,6.0
61,3,6.0
184,3,6.0
177,3,6.0
48,3,6.0
269,3,6.0
198,3,6.0
6,2,4.0
573,2,4.0
559,2,4.0
418,2,4.0
511,2,4.0
207,2,4.0
16,2,4.0
45,2,4.0
482,2,4.0
135,2,4.0
555,2,4.0
47,2,4.0
98,2,4.0
525,2,4.0
273,2,4.0
23,2,4.0
62,2,4.0
523,2,4.0
67,1,2.0
268,1,2.0
438,1,2.0
68,1,2.0
550,1,2.0
199,1,2.0
337,1,2.0
187,1,2.0
474,1,2.0
489,1,2.0
471,1,2.0
38,1,2.0
142,1,2.0
159,1,2.0
66,1,2.0
32,1,2.0
162,1,2.0
218,1,2.0
539,1,2.0
472,1,2.0
545,1,2.0
12,1,2.0
18,1,2.0
150,1,2.0
2,1,2.0
170,1,2.0
250,1,2.0
473,1,2.0
430,1,2.0
120,1,2.0
50,1,2.0
181,1,2.0
546,1,2.0
