lot_index,true_label,risk_tier,hybrid_score,rank,sensor,shap_value
1,1,High Risk,0.6887723605381926,1,44,0.020761891027356438
1,1,High Risk,0.6887723605381926,2,133,0.020524191962936207
1,1,High Risk,0.6887723605381926,3,59,0.019415332532113666
1,1,High Risk,0.6887723605381926,4,45,0.014863570094977695
1,1,High Risk,0.6887723605381926,5,123,0.014770231008697475
1,1,High Risk,0.6887723605381926,6,37,0.011786081968465902
1,1,High Risk,0.6887723605381926,7,547,0.011758736418642984
1,1,High Risk,0.6887723605381926,8,555,0.011102036641950308
1,1,High Risk,0.6887723605381926,9,124,0.009608970056647795
1,1,High Risk,0.6887723605381926,10,496,0.00950277840021543
27,-1,High Risk,0.7861770711805656,1,59,0.044649360571773704
27,-1,High Risk,0.7861770711805656,2,460,0.03175952821692049
27,-1,High Risk,0.7861770711805656,3,117,0.02509942140271937
27,-1,High Risk,0.7861770711805656,4,187,0.021339736408343087
27,-1,High Risk,0.7861770711805656,5,96,0.014567432708861114
27,-1,High Risk,0.7861770711805656,6,549,0.012246925426953338
27,-1,High Risk,0.7861770711805656,7,519,0.012241552760281363
27,-1,High Risk,0.7861770711805656,8,0,0.012000493536768174
27,-1,High Risk,0.7861770711805656,9,571,0.009554631232769884
27,-1,High Risk,0.7861770711805656,10,546,0.009396286418973514
97,1,High Risk,0.7801919607858123,1,59,0.03222808130123208
97,1,High Risk,0.7801919607858123,2,484,0.020446260447124213
97,1,High Risk,0.7801919607858123,3,547,0.019713618983516038
97,1,High Risk,0.7801919607858123,4,412,0.017281924212404973
97,1,High Risk,0.7801919607858123,5,15,0.015947208122727694
97,1,High Risk,0.7801919607858123,6,139,0.014290046934959265
97,1,High Risk,0.7801919607858123,7,115,0.013553403968594833
97,1,High Risk,0.7801919607858123,8,205,0.013449067086126233
97,1,High Risk,0.7801919607858123,9,510,0.011662201219617436
97,1,High Risk,0.7801919607858123,10,83,0.010281696595702753
105,1,Low Risk,0.5409724051467809,1,115,0.042167978936753316
105,1,Low Risk,0.5409724051467809,2,485,0.027882774739042337
105,1,Low Risk,0.5409724051467809,3,59,0.025723173794223703
105,1,Low Risk,0.5409724051467809,4,161,0.021833422383360605
105,1,Low Risk,0.5409724051467809,5,90,0.018633790842357906
105,1,Low Risk,0.5409724051467809,6,563,0.018368313257270764
105,1,Low Risk,0.5409724051467809,7,1,0.012182201022846235
105,1,Low Risk,0.5409724051467809,8,559,0.012062616082861854
105,1,Low Risk,0.5409724051467809,9,510,0.009144601087459257
105,1,Low Risk,0.5409724051467809,10,460,0.008916879183404358
118,1,Medium Risk,0.5961364843806929,1,59,0.031999597127185676
118,1,Medium Risk,0.5961364843806929,2,484,0.02612645053481094
118,1,Medium Risk,0.5961364843806929,3,22,0.020143673601979578
118,1,Medium Risk,0.5961364843806929,4,570,0.013357403227864285
118,1,Medium Risk,0.5961364843806929,5,164,0.013173679540025246
118,1,Medium Risk,0.5961364843806929,6,563,0.012973311305709839
118,1,Medium Risk,0.5961364843806929,7,547,0.009032500861123087
118,1,Medium Risk,0.5961364843806929,8,161,0.009027444396902898
118,1,Medium Risk,0.5961364843806929,9,420,0.008732225658652813
118,1,Medium Risk,0.5961364843806929,10,444,0.00851178674167028
123,1,Medium Risk,0.5633588197343695,1,460,0.03473209499357923
123,1,Medium Risk,0.5633588197343695,2,59,0.0179597247502507
123,1,Medium Risk,0.5633588197343695,3,205,0.014217849053557427
123,1,Medium Risk,0.5633588197343695,4,15,0.014022458409742578
123,1,Medium Risk,0.5633588197343695,5,0,0.013998706099886411
123,1,Medium Risk,0.5633588197343695,6,526,0.013659502748956831
123,1,Medium Risk,0.5633588197343695,7,218,0.012914101015984813
123,1,Medium Risk,0.5633588197343695,8,431,0.011204325391772756
123,1,Medium Risk,0.5633588197343695,9,433,0.010951739611747552
123,1,Medium Risk,0.5633588197343695,10,90,0.010494909175788098
160,-1,Medium Risk,0.5853580727652753,1,59,0.04215624358505009
160,-1,Medium Risk,0.5853580727652753,2,485,0.024056152995876025
160,-1,Medium Risk,0.5853580727652753,3,563,0.020378635115815617
160,-1,Medium Risk,0.5853580727652753,4,496,0.013416385300517579
160,-1,Medium Risk,0.5853580727652753,5,546,0.01155597208744667
160,-1,Medium Risk,0.5853580727652753,6,21,0.011177035576320101
160,-1,Medium Risk,0.5853580727652753,7,487,0.010247280234583975
160,-1,Medium Risk,0.5853580727652753,8,468,0.009895859781801263
160,-1,Medium Risk,0.5853580727652753,9,117,0.008502751288951277
160,-1,Medium Risk,0.5853580727652753,10,162,0.008264709521323832
166,-1,High Risk,0.617582322670764,1,59,0.03815844147529417
166,-1,High Risk,0.617582322670764,2,14,0.021675857708434484
166,-1,High Risk,0.617582322670764,3,489,0.01606888456556951
166,-1,High Risk,0.617582322670764,4,485,0.015955521418223408
166,-1,High Risk,0.617582322670764,5,32,0.010974860150690774
166,-1,High Risk,0.617582322670764,6,134,0.010594822095318217
166,-1,High Risk,0.617582322670764,7,205,0.010309453924591695
166,-1,High Risk,0.617582322670764,8,175,0.010125465058696645
166,-1,High Risk,0.617582322670764,9,185,0.009841957768838044
166,-1,High Risk,0.617582322670764,10,151,0.008923697103749996
