lot_index,sensor,change,direction
1,519,6.0084,UP
1,519,3.9003,UP
1,460,8.2355,UP
1,468,1.4844,UP
1,420,15.1816,UP
1,485,0.5996,UP
97,460,3.1364,UP
97,0,-2.7594,DOWN
97,0,2.0256,UP
97,129,-1.2339,DOWN
97,129,0.9297,UP
97,468,-0.1017,DOWN
97,563,-0.8065,DOWN
97,21,0.595,UP
105,519,7.3261,UP
105,519,8.333,UP
105,519,4.6063,UP
105,460,-0.2645,DOWN
105,33,0.7052,UP
105,426,2.7801,UP
105,510,8.7055,UP
105,155,5.5196,UP
118,59,15.522,UP
118,519,-0.5929,DOWN
118,0,3.5498,UP
118,0,0.6054,UP
118,468,2.6458,UP
118,510,6.3611,UP
118,21,4.8774,UP
118,155,4.554,UP
123,460,2.8753,UP
123,0,-3.1949,DOWN
123,205,23.0695,UP
123,129,-3.7039,DOWN
123,21,-2.5713,DOWN
123,21,3.6495,UP
123,21,0.6105,UP
